titulo,año,duracion,ranking,puntuaciones
Cadena perpetua,1994,2h 22m,1,9.3
El padrino,1972,2h 55m,2,9.2
El caballero oscuro,2008,2h 32m,3,9.0
El padrino (parte II),1974,3h 22m,4,9.0
12 hombres sin piedad,1957,1h 36m,5,9.0
La lista de Schindler,1993,3h 15m,6,9.0
El señor de los anillos: El retorno del rey,2003,3h 21m,7,9.0
Pulp Fiction,1994,2h 34m,8,8.9
El señor de los anillos: La comunidad del anillo,2001,2h 58m,9,8.8
"El bueno, el feo y el malo",1966,3h 2m,10,8.8
Forrest Gump,1994,2h 22m,11,8.8
El club de la lucha,1999,2h 19m,12,8.8
El señor de los anillos: Las dos torres,2002,2h 59m,13,8.8
Origen,2010,2h 28m,14,8.8
El imperio contraataca,1980,2h 4m,15,8.7
Matrix,1999,2h 16m,16,8.7
Uno de los nuestros,1990,2h 25m,17,8.7
Alguien voló sobre el nido del cuco,1975,2h 13m,18,8.7
Seven,1995,2h 7m,19,8.6
¡Qué bello es vivir!,1946,2h 10m,20,8.6
Los siete samuráis,1954,3h 27m,21,8.6
Spider-Man: Cruzando el multiverso,2023,2h 20m,22,8.7
Interstellar,2014,2h 49m,23,8.7
El silencio de los corderos,1991,1h 58m,24,8.6
Salvar al soldado Ryan,1998,2h 49m,25,8.6
Ciudad de Dios,2002,2h 10m,26,8.6
La vida es bella,1997,1h 56m,27,8.6
La milla verde,1999,3h 9m,28,8.6
La guerra de las galaxias,1977,2h 1m,29,8.6
Terminator 2: El juicio final,1991,2h 17m,30,8.6
Regreso al futuro,1985,1h 56m,31,8.5
El viaje de Chihiro,2001,2h 5m,32,8.6
El pianista,2002,2h 30m,33,8.5
Psicosis,1960,1h 49m,34,8.5
Parásitos,2019,2h 12m,35,8.5
Gladiator (El gladiador),2000,2h 35m,36,8.5
El rey león,1994,1h 28m,37,8.5
El profesional (Léon),1994,1h 50m,38,8.5
American History X,1998,1h 59m,39,8.5
Infiltrados,2006,2h 31m,40,8.5
Whiplash,2014,1h 46m,41,8.5
El truco final (El prestigio),2006,2h 10m,42,8.5
Sospechosos habituales,1995,1h 46m,43,8.5
La tumba de las luciérnagas,1988,1h 29m,44,8.5
Harakiri,1962,2h 13m,45,8.6
Casablanca,1942,1h 42m,46,8.5
Oppenheimer,2023,3h,47,8.5
Intocable,2011,1h 52m,48,8.5
Tiempos modernos,1936,1h 27m,49,8.5
Cinema Paradiso,1988,2h 35m,50,8.5
Hasta que llegó su hora,1968,2h 45m,51,8.5
La ventana indiscreta,1954,1h 52m,52,8.5
"Alien, el octavo pasajero",1979,1h 57m,53,8.5
Luces de la ciudad,1931,1h 27m,54,8.5
Apocalypse Now,1979,2h 27m,55,8.4
Memento,2000,1h 53m,56,8.4
Django desencadenado,2012,2h 45m,57,8.5
En busca del arca perdida,1981,1h 55m,58,8.4
WALL·E,2008,1h 38m,59,8.4
La vida de los otros,2006,2h 17m,60,8.4
El crepúsculo de los dioses,1950,1h 50m,61,8.4
Senderos de gloria,1957,1h 28m,62,8.4
Vengadores: Infinity War,2018,2h 29m,63,8.4
El resplandor,1980,2h 26m,64,8.4
El gran dictador,1940,2h 5m,65,8.4
Testigo de cargo,1957,1h 56m,66,8.4
